class_label,n_group1,n_group2,mean_group1,mean_group2,MannU_p_value,log2FC,KS_p_value,MannU_p_value_corrected,KS_p_value_corrected
CD8+ICOS+PD1+_Tcell,6,25,0.001044467606361357,0.007549649689431495,0.11084529745062911,2.853641955000847,0.10946907498631636,0.19649848184429708,0.20329971068887326
CD8+ICOS+_Tcell,6,25,0.002759150294955446,0.028330636727047182,0.04244861002767272,3.3600670767921046,0.0346688288846242,0.13795798258993633,0.1040064866538726
CD8+PD1+_Tcell,6,25,0.0037058126299615844,0.019290196194742225,0.08277248971165696,2.3800059726316625,0.07029653080821045,0.16458413527707444,0.15230915008445597
CD8+_Tcell,6,25,0.13526107660666606,0.3044825459134171,0.04817779002080387,1.170612787778155,0.01074318093227993,0.14453337006241163,0.05237300704486466
CD8+_intraepithelial_Tcell,6,25,0.07042130861267952,0.02852192393719771,0.26010804686099454,-1.3039407349154777,0.12719464443602377,0.4226755761491161,0.2156778753480403
Distal_collecting_tubules,6,25,2.5037057463858416,2.0870819194146235,0.29061458872359874,-0.2625777878827905,0.3752724842824955,0.43592188308539814,0.5046767892074939
Endothelial_cells,6,25,2.96631564074143,2.862317995086383,0.3913098395857017,-0.05148816062192991,0.34688658270415773,0.4922930239949151,0.4831634544807911
HLAII+_Monocytes,6,25,0.1893429273772755,0.49261553627662,0.019902727355452607,1.379460596255393,0.05831740870673018,0.12731229248205914,0.14214868372265482
HLAII-_Monocytes,6,25,0.2506278425681882,1.0288105533877032,0.040595913788349834,2.037358747292255,0.019658255475830555,0.13795798258993633,0.07666719635573917
Inflamed_tubule,6,25,2.5950133918717104,4.468149844832245,0.052569603181394066,0.7839355853633359,0.05831740870673018,0.14644389457674062,0.14214868372265482
Mo-Macrophage,6,25,0.027633639011537158,0.2051779208158554,0.0073042764922631445,2.8923780259414387,0.007399348889893939,0.056973356639652535,0.04122494381512337
NK_Tcell,6,25,0.01001195314903913,0.042248823889015255,0.03796714988271562,2.0771877355518678,0.07029653080821045,0.13795798258993633,0.15230915008445597
NK_cells,6,25,0.01769299346303251,0.018523707448844514,0.7075479456059445,0.0661947202967803,0.6806042801593413,0.8115991140774069,0.758387626463266
Neutrophils,6,25,0.06443396025231014,0.054945164736398044,0.3644532454321109,-0.22982874142392576,0.46795449020143104,0.49012677833973534,0.5530371247835094
Plasmablasts,6,25,0.04924195617169177,0.07494316443255289,0.7832949371428733,0.6059088208856409,0.5849016883499643,0.8485695152381127,0.6709166425190767
Proximal_tubules,6,25,5.173479881069954,3.699823699498188,0.075498349135724,-0.4836784926552763,0.025090963911876037,0.1635797564607353,0.08895887205119686
RBCs,6,25,0.014047414883642194,0.12511928373503212,0.7421524697735845,3.1549275950108746,0.7979100370646532,0.8269698948905656,0.8644025401533743
TCRgd_Tcell,6,25,0.023916343008202865,0.11951255425020481,0.059501739145788095,2.3210934623133275,0.0346688288846242,0.15470452177904903,0.1040064866538726
cDC1,6,25,0.019922398778602555,0.03730428536073975,0.8219086528891744,0.9049500036235212,0.8739258516789107,0.8663361476399406,0.8739258516789107
cDC2,6,25,0.005549671081424744,0.01420293601105195,0.6670237318725134,1.3557150191733054,0.43482855051264374,0.7883007740311522,0.5530371247835094
general_unknown,6,25,7.327670465059669,5.661196649569672,0.075498349135724,-0.3722475864512756,0.04302161810504414,0.1635797564607353,0.11984593614976581
pDC,6,25,0.002105774274041136,0.020794983559025475,0.1842840162762781,3.3038128425659723,0.24567522454063057,0.31248159281629767,0.3548642132253553
plasma_cells,6,25,0.08191019613947982,0.10701772598239483,0.33869405838260125,0.38573482447755203,0.46795449020143104,0.4717524384614803,0.5530371247835094
