class_label,n_group1,n_group2,mean_group1,mean_group2,MannU_p_value,log2FC,KS_p_value,MannU_p_value_corrected,KS_p_value_corrected
CD8+Foxp3+_Tcell,6,23,0.00199345153101454,0.10180759234782935,0.002348304902774481,5.674432816917625,0.00011788977306218687,0.011447986401025595,0.002298850574712644
CD8+ICOS+PD1+_Tcell,6,23,0.001044467606361357,0.04336910595311163,0.0188871402170725,5.375828048840999,0.032032335480611344,0.046037404279114215,0.05431569929321054
CD8+ICOS+_Tcell,6,23,0.002759150294955446,0.05217691165316239,0.0019534349783233685,4.241115604034214,0.00035366931918656057,0.011447986401025595,0.0027586206896551726
CD8+PD1+_Tcell,6,23,0.0037058126299615844,0.06529964914148226,0.04297804209698249,4.139213396070464,0.05758915414087828,0.06983931840759655,0.08983908045977011
CD8+_Tcell,6,23,0.13526107660666606,0.7498262318768778,0.002096753820891752,2.470809555658447,0.000964169929687171,0.011447986401025595,0.005371803893971381
CD8+_intraepithelial_Tcell,6,23,0.07042130861267952,0.10416196039743167,0.5007506400158495,0.5647445647308669,0.515607763883626,0.5278182421788684,0.574534365470326
Distal_collecting_tubules,6,23,2.5037057463858416,2.0063998376752328,0.19248031661824766,-0.31945587974054435,0.2642078228285125,0.25022441160372194,0.34347016967706623
Endothelial_cells,6,23,2.96631564074143,2.049097956109351,0.030718706580775548,-0.533683167436952,0.032032335480611344,0.05704902650715459,0.05431569929321054
HLAII+_Monocytes,6,23,0.1893429273772755,1.0531516615277399,0.00018525535766915075,2.4756397723232864,0.00011788977306218687,0.007224958949096879,0.002298850574712644
HLAII-_Monocytes,6,23,0.2506278425681882,1.5739989680687794,0.041223527430423984,2.650815995482608,0.03931623931623931,0.06983931840759655,0.06388888888888887
Inflamed_tubule,6,23,2.5950133918717104,3.29462665030175,0.4139573070607553,0.3443730033528505,0.515607763883626,0.46126671358198446,0.574534365470326
Mo-Macrophage,6,23,0.027633639011537158,0.06205438286593684,0.10163361542671889,1.1671075507745285,0.15546924340027787,0.1468041111719273,0.20907932733140816
NK_Tcell,6,23,0.01001195314903913,0.09580289706050892,0.0005262936297419056,3.2583458383720667,0.0013641530882910198,0.010262725779967159,0.005911330049261085
NK_cells,6,23,0.01769299346303251,0.03894491599730796,0.15361224475011578,1.138256849159651,0.3791503515641447,0.20658198431912123,0.47699560358069826
Neutrophils,6,23,0.06443396025231014,0.12483274943053328,0.4139573070607553,0.9541032960063357,0.48019872847459055,0.46126671358198446,0.5675075881972433
Plasmablasts,6,23,0.04924195617169177,0.024310135577398657,0.3190084688945406,-1.0183301357603896,0.6786451096795925,0.38879157146522136,0.6965041915132659
Proximal_tubules,6,23,5.173479881069954,2.360510519269221,0.006370258094396026,-1.1320361069790144,0.0035366931918656046,0.020703338806787083,0.012539184952978052
RBCs,6,23,0.014047414883642194,0.009040629868071425,0.8921901312798972,-0.6358094637266937,0.8588480485032209,0.8921901312798972,0.8588480485032209
TCRgd_Tcell,6,23,0.023916343008202865,0.2504110876957849,0.0051829396656982865,3.3882297308944573,0.000964169929687171,0.01837587699656665,0.005371803893971381
cDC1,6,23,0.019922398778602555,0.02884131541737253,0.4139573070607553,0.5337455984810974,0.4104753484063829,0.46126671358198446,0.5002668308702791
cDC2,6,23,0.005549671081424744,0.011084460855208823,0.4667897084722359,0.9980644263800923,0.6068670792808725,0.5056888508449222,0.6574393358876118
general_unknown,6,23,7.327670465059669,5.212397968108,0.041223527430423984,-0.4914073867084992,0.016487726832554415,0.06983931840759655,0.03782478508644836
pDC,6,23,0.002105774274041136,0.022899573458767725,0.025446242607526228,3.4428980242745917,0.032032335480611344,0.04962017308467615,0.05431569929321054
plasma_cells,6,23,0.08191019613947982,0.0389820932250347,0.04937536225037699,-1.0712314877844842,0.15546924340027787,0.0770255651105881,0.20907932733140816
