class_label,n_group1,n_group2,mean_group1,mean_group2,MannU_p_value,log2FC,KS_p_value,MannU_p_value_corrected,KS_p_value_corrected
BDCA2pCD103p_DCs,25,23,0.003925294679797721,0.00672274779848081,0.2561467170288666,0.7762500642878687,0.5923580519206795,0.3567757844330642,0.6600561149973285
Bcell,25,23,0.06999406802114881,0.1173081411060397,0.13171806395232089,0.74499857457977,0.18535916060586446,0.19757709592848133,0.2780387409087967
CD14+CD163+MERTK+_macrophages,25,23,0.29340782665348814,0.22151644550450772,0.8284418233488025,-0.40549354617230166,0.6538424499270086,0.8667867186089829,0.6891852850581982
CD14+CD163+_macrophages,25,23,1.2055381399066554,0.6373553409264613,0.027228905672593617,-0.9195074554921618,0.025912427373776827,0.07775933018134125,0.08729877590603265
CD14+MERTK+_macrophages,25,23,0.28817666892927635,0.5695509279432869,0.05492072735704239,0.9828713119868872,0.04914019482823523,0.11273201931182386,0.11273338813536317
CD14+_macrophages,25,23,1.1378605267666695,1.3905632429448502,0.5089956362524752,0.28934562991730595,0.45471439625700016,0.5671665661099009,0.5797835664822527
CD16+_macrophages,25,23,0.09731599703911624,0.20115225775069806,0.3860635805028645,1.0475390476753903,0.6286197579631685,0.4705149887378661,0.6810047377934325
CD3+_Tcell,25,23,0.5007045973770136,1.0653413317652514,0.04419694565382855,1.0892841319813704,0.0712121600372894,0.09576004891662851,0.12623973824792212
CD4+CD8+_Tcell,25,23,0.05340183079046429,0.1540972798408499,0.007986302449332216,1.528880287100474,0.011554712098507794,0.0428163296519315,0.07822486580123393
CD4+Foxp3+_Tcell,25,23,0.028686144819903094,0.0788686885066091,0.06311355391645165,1.4590985576792552,0.02909959196867755,0.12307143013708073,0.08729877590603265
CD4+ICOS+PD1+_Tcell,25,23,0.11660009774051087,0.2677351247294811,0.18302948729772406,1.199237423682918,0.5655258464252407,0.2643759260967125,0.6486914120760114
CD4+ICOS+_Tcell,25,23,0.09135633947742429,0.19790913631629364,0.006027374239630774,1.1152614646102317,0.02005765789775229,0.0428163296519315,0.07822486580123393
CD4+PD1+_Tcell,25,23,0.06298747577501274,0.15205746443687856,0.13171806395232089,1.271479737951751,0.22182779972245315,0.19757709592848133,0.3204179329324323
CD4+_Tcell,25,23,0.16358710728203363,0.5391292545331398,0.007267270167222587,1.7205721457411514,0.01003737600492255,0.0428163296519315,0.07822486580123393
CD4+_intraepithelial_Tcell,25,23,0.004537583879665617,0.026095797922796257,0.004061197625296274,2.523821297996607,0.016484864492280423,0.0428163296519315,0.07822486580123393
CD8+Foxp3+_Tcell,25,23,0.0186443858179636,0.10180759234782935,0.005639011840846062,2.4490319772198825,0.011554712098507794,0.0428163296519315,0.07822486580123393
CD8+ICOS+PD1+_Tcell,25,23,0.007549649689431495,0.04336910595311163,0.014856969563091795,2.522186093840152,0.012057018626421126,0.05272550943481666,0.07822486580123393
CD8+ICOS+_Tcell,25,23,0.028330636727047182,0.05217691165316239,0.0279136057061225,0.8810485272421099,0.018183510621952597,0.07775933018134125,0.07822486580123393
CD8+PD1+_Tcell,25,23,0.019290196194742225,0.06529964914148226,0.11356151139491773,1.7592074234388015,0.06707712371787346,0.18943642434938965,0.12623973824792212
CD8+_Tcell,25,23,0.3044825459134171,0.7498262318768778,0.014871297532897006,1.3001967678802921,0.03222023183290118,0.05272550943481666,0.089756360105939
CD8+_intraepithelial_Tcell,25,23,0.02852192393719771,0.10416196039743167,0.009206338765961988,1.8686852996463446,0.02909959196867755,0.0428163296519315,0.08729877590603265
Distal_collecting_tubules,25,23,2.0870819194146235,2.0063998376752328,0.4958462002606573,-0.05687809185775371,0.47807838899632277,0.5671665661099009,0.5797835664822527
Endothelial_cells,25,23,2.862317995086383,2.049097956109351,0.030239021016148636,-0.4821950068150221,0.045512624568687356,0.07862145464198644,0.11093702238617544
HLAII+_Monocytes,25,23,0.49261553627662,1.0531516615277399,0.000203393857148879,1.0961791760678932,0.0005305450065183048,0.007932360428806282,0.020691255254213888
HLAII-_Monocytes,25,23,1.0288105533877032,1.5739989680687794,0.6797886913817313,0.6134572481903534,0.7897845242778025,0.7364377489968755,0.810568327548271
Inflamed_tubule,25,23,4.468149844832245,3.29462665030175,0.0905923830563098,-0.4395625820104854,0.15767381621386506,0.16059558814527647,0.25621995134753073
Mo-Macrophage,25,23,0.2051779208158554,0.06205438286593684,0.024480978962752673,-1.72527047516691,0.05657028531258085,0.07775933018134125,0.11611795406266595
NK_Tcell,25,23,0.042248823889015255,0.09580289706050892,0.00988069145813804,1.1811581028201987,0.018183510621952597,0.0428163296519315,0.07822486580123393
NK_cells,25,23,0.018523707448844514,0.03894491599730796,0.0043783547992088815,1.0720621288628707,0.0019791744288102883,0.0428163296519315,0.038593901361800624
Neutrophils,25,23,0.054945164736398044,0.12483274943053328,0.8445614181318295,1.1839320374302615,0.8720486342267644,0.8667867186089829,0.8720486342267644
Plasmablasts,25,23,0.07494316443255289,0.024310135577398657,0.11657626113808595,-1.6242389566460305,0.06898247603870188,0.18943642434938965,0.12623973824792212
Proximal_tubules,25,23,3.699823699498188,2.360510519269221,0.03904071626980605,-0.6483576143237381,0.05657028531258085,0.09516174590765225,0.11611795406266595
RBCs,25,23,0.12511928373503212,0.009040629868071425,0.2771889435850211,-3.790737058737568,0.3013220345706858,0.36034562666052744,0.4196985481520266
TCRgd_Tcell,25,23,0.11951255425020481,0.2504110876957849,0.042067044304253884,1.0671362685811296,0.038976440659021803,0.09576004891662851,0.10133874571345668
